shared name	FOLDCHANGE	PVALUE
AT1G70620 (REPRESSED:PCHX) AT5G07680	-0.3	9.4E-02
AT1G70690 (INDUCED:PCHX) AT5G07680	0.7	1.0E-02
AT1G71000 (INDUCED:PCHX) AT5G07680	0.4	4.8E-02
AT1G71040 (REPRESSED:PCHX) AT5G07680	-0.4	4.8E-03
AT1G71100 (INDUCED:PCHX) AT5G07680	0.4	2.7E-02
AT1G71450 (INDUCED:PCHX) AT5G07680	0.8	1.4E-07
AT1G71820 (REPRESSED:PCHX) AT5G07680	-0.4	1.8E-02
AT1G71830 (REPRESSED:PCHX) AT5G07680	-0.6	5.1E-02
AT1G72160 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT1G72370 (INDUCED:PCHX) AT5G07680	0.4	4.7E-03
AT1G72390 (REPRESSED:PCHX) AT5G07680	-0.4	3.2E-02
AT1G72800 (INDUCED:PCHX) AT5G07680	0.5	2.1E-03
AT1G72810 (INDUCED:PCHX) AT5G07680	0.6	9.0E-04
AT1G73030 (INDUCED:PCHX) AT5G07680	0.3	4.9E-02
AT1G73230 (INDUCED:PCHX) AT5G07680	0.5	7.0E-03
AT1G73250 (INDUCED:PCHX) AT5G07680	0.6	5.0E-02
AT1G73660 (REPRESSED:PCHX) AT5G07680	-0.5	6.1E-03
AT1G74430 (INDUCED:PCHX) AT5G07680	0.4	3.9E-02
AT1G74790 (REPRESSED:PCHX) AT5G07680	-0.5	1.6E-02
AT1G75030 (REPRESSED:PCHX) AT5G07680	-0.7	7.9E-04
AT1G75440 (INDUCED:PCHX) AT5G07680	0.5	7.4E-02
AT1G75600 (INDUCED:PCHX) AT5G07680	1.1	2.5E-06
AT1G76070 (INDUCED:PCHX) AT5G07680	0.3	5.3E-02
AT1G76360 (INDUCED:PCHX) AT5G07680	0.3	7.9E-02
AT1G76600 (INDUCED:PCHX) AT5G07680	0.3	5.5E-02
AT1G76850 (REPRESSED:PCHX) AT5G07680	-0.3	7.5E-02
AT1G77260 (REPRESSED:PCHX) AT5G07680	-0.5	4.3E-02
AT1G77450 (INDUCED:PCHX) AT5G07680	0.5	4.4E-04
AT1G77840 (INDUCED:PCHX) AT5G07680	0.4	2.1E-02
AT1G77940 (INDUCED:PCHX) AT5G07680	0.5	2.0E-03
AT1G78340 (INDUCED:PCHX) AT5G07680	0.8	8.2E-05
AT1G78380 (INDUCED:PCHX) AT5G07680	0.4	2.5E-04
AT1G78580 (REPRESSED:PCHX) AT5G07680	-0.7	1.1E-05
AT1G78840 (INDUCED:PCHX) AT5G07680	0.6	3.3E-02
AT1G78920 (REPRESSED:PCHX) AT5G07680	-0.3	3.1E-02
AT1G79000 (REPRESSED:PCHX) AT5G07680	-0.4	2.1E-02
AT1G79160 (INDUCED:PCHX) AT5G07680	0.3	4.0E-02
AT1G79280 (REPRESSED:PCHX) AT5G07680	-0.3	5.6E-02
AT1G79890 (REPRESSED:PCHX) AT5G07680	-0.5	9.4E-02
AT1G80380 (REPRESSED:PCHX) AT5G07680	-0.4	5.4E-03
AT1G80450 (INDUCED:PCHX) AT5G07680	0.4	3.0E-02
AT1G80660 (INDUCED:PCHX) AT5G07680	0.8	1.2E-06
AT1G80670 (INDUCED:PCHX) AT5G07680	0.7	9.9E-08
AT1G80750 (INDUCED:PCHX) AT5G07680	0.6	1.8E-03
AT2G01250 (INDUCED:PCHX) AT5G07680	0.4	3.2E-02
AT2G01350 (REPRESSED:PCHX) AT5G07680	-0.3	2.3E-02
AT2G01830 (REPRESSED:PCHX) AT5G07680	-0.6	4.6E-03
AT2G01980 (REPRESSED:PCHX) AT5G07680	-0.3	8.3E-02
AT2G02120 (INDUCED:PCHX) AT5G07680	1.1	5.7E-06
AT2G02250 (INDUCED:PCHX) AT5G07680	0.9	1.1E-06
AT2G02340 (INDUCED:PCHX) AT5G07680	0.4	7.5E-02
AT2G02390 (REPRESSED:PCHX) AT5G07680	-0.4	3.8E-03
AT2G03220 (REPRESSED:PCHX) AT5G07680	-0.4	2.0E-02
AT2G04350 (REPRESSED:PCHX) AT5G07680	-0.3	4.3E-02
AT2G04520 (INDUCED:PCHX) AT5G07680	0.4	2.7E-02
AT2G05710 (REPRESSED:PCHX) AT5G07680	-0.4	2.8E-03
AT2G05920 (REPRESSED:PCHX) AT5G07680	-0.3	1.5E-02
AT2G13560 (REPRESSED:PCHX) AT5G07680	-0.4	1.9E-03
AT2G15880 (REPRESSED:PCHX) AT5G07680	-0.3	4.1E-02
AT2G15900 (REPRESSED:PCHX) AT5G07680	-0.4	4.1E-02
AT2G16280 (REPRESSED:PCHX) AT5G07680	-0.4	9.7E-02
AT2G16660 (INDUCED:PCHX) AT5G07680	0.4	1.0E-03
AT2G16890 (REPRESSED:PCHX) AT5G07680	-0.5	8.3E-02
AT2G17120 (REPRESSED:PCHX) AT5G07680	-0.6	4.9E-05
AT2G17210 (REPRESSED:PCHX) AT5G07680	-0.5	7.4E-03
AT2G17930 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT2G18280 (REPRESSED:PCHX) AT5G07680	-0.4	8.1E-02
AT2G18630 (INDUCED:PCHX) AT5G07680	0.4	4.0E-02
AT2G18700 (REPRESSED:PCHX) AT5G07680	-0.5	2.1E-04
AT2G18960 (REPRESSED:PCHX) AT5G07680	-0.4	3.5E-03
AT2G19730 (INDUCED:PCHX) AT5G07680	0.6	9.1E-04
AT2G19740 (INDUCED:PCHX) AT5G07680	0.6	6.7E-03
AT2G19750 (INDUCED:PCHX) AT5G07680	0.6	1.9E-04
AT2G19900 (REPRESSED:PCHX) AT5G07680	-0.4	7.7E-03
AT2G20160 (INDUCED:PCHX) AT5G07680	0.5	3.7E-02
AT2G20370 (INDUCED:PCHX) AT5G07680	0.5	5.8E-04
AT2G20450 (INDUCED:PCHX) AT5G07680	0.6	1.8E-02
AT2G20490 (INDUCED:PCHX) AT5G07680	0.7	3.4E-03
AT2G21180 (INDUCED:PCHX) AT5G07680	0.7	1.2E-02
AT2G21580 (INDUCED:PCHX) AT5G07680	0.5	1.2E-02
AT2G21660 (INDUCED:PCHX) AT5G07680	0.4	4.2E-02
AT2G21790 (INDUCED:PCHX) AT5G07680	0.5	1.3E-03
AT2G22125 (REPRESSED:PCHX) AT5G07680	-0.4	6.9E-02
AT2G22470 (INDUCED:PCHX) AT5G07680	0.4	1.9E-02
AT2G22500 (INDUCED:PCHX) AT5G07680	0.3	2.9E-02
AT2G23350 (INDUCED:PCHX) AT5G07680	0.4	3.3E-02
AT2G23680 (INDUCED:PCHX) AT5G07680	1.0	7.4E-06
AT2G23800 (INDUCED:PCHX) AT5G07680	0.7	1.4E-02
AT2G23810 (INDUCED:PCHX) AT5G07680	0.5	2.7E-04
AT2G24050 (INDUCED:PCHX) AT5G07680	0.4	6.6E-02
AT2G24500 (INDUCED:PCHX) AT5G07680	0.5	8.0E-03
AT2G25210 (INDUCED:PCHX) AT5G07680	0.7	3.3E-03
AT2G25490 (INDUCED:PCHX) AT5G07680	0.3	3.7E-02
AT2G25730 (REPRESSED:PCHX) AT5G07680	-0.4	5.3E-02
AT2G25900 (REPRESSED:PCHX) AT5G07680	-0.5	8.3E-03
AT2G26650 (REPRESSED:PCHX) AT5G07680	-0.5	5.0E-03
AT2G26730 (REPRESSED:PCHX) AT5G07680	-0.6	2.9E-02
