shared name	FOLDCHANGE	PVALUE
AT1G01725 (REPRESSED:PCHX) AT5G62020	-0.6	3.2E-04
AT1G01725 (REPRESSED:PCHX) AT5G65210	-0.6	2.0E-04
AT1G01730 (REPRESSED:PCHX) AT2G22200	-0.6	2.8E-05
AT1G01730 (REPRESSED:PCHX) AT2G33550	-0.3	4.2E-02
AT1G01730 (INDUCED:PCHX) AT2G39250	0.4	1.5E-02
AT1G01730 (REPRESSED:PCHX) AT3G16870	-0.4	7.1E-03
AT1G01730 (REPRESSED:PCHX) AT3G49940	-0.4	9.1E-04
AT1G01730 (REPRESSED:PCHX) AT4G39780	-0.4	1.9E-03
AT1G01730 (REPRESSED:PCHX) AT5G62020	-0.8	5.7E-09
AT1G01730 (REPRESSED:PCHX) AT5G65210	-0.6	1.2E-08
AT1G01750 (REPRESSED:PCHX) AT2G22200	-0.8	2.4E-02
AT1G01750 (INDUCED:PCHX) AT2G39250	0.6	3.8E-02
AT1G01750 (REPRESSED:PCHX) AT5G07680	-0.5	8.7E-02
AT1G01750 (REPRESSED:PCHX) AT5G62020	-0.7	7.2E-02
AT1G01750 (REPRESSED:PCHX) AT5G65210	-0.6	3.9E-02
AT1G01760 (INDUCED:PCHX) AT1G25550	0.5	2.0E-02
AT1G01760 (REPRESSED:PCHX) AT2G22200	-1.0	9.3E-05
AT1G01760 (INDUCED:PCHX) AT2G22430	0.5	2.5E-03
AT1G01760 (REPRESSED:PCHX) AT2G33550	-0.6	2.1E-02
AT1G01760 (INDUCED:PCHX) AT2G39250	0.9	1.2E-07
AT1G01760 (REPRESSED:PCHX) AT3G49940	-0.7	3.0E-03
AT1G01760 (REPRESSED:PCHX) AT4G39780	-0.7	3.0E-03
AT1G01760 (REPRESSED:PCHX) AT5G07680	-0.7	9.1E-03
AT1G01760 (REPRESSED:PCHX) AT5G62020	-1.2	1.7E-06
AT1G01760 (REPRESSED:PCHX) AT5G65210	-0.5	1.9E-03
AT1G01780 (REPRESSED:PCHX) AT2G33550	-0.3	8.7E-02
AT1G01780 (INDUCED:PCHX) AT2G39250	0.4	6.3E-02
AT1G01780 (REPRESSED:PCHX) AT3G49940	-0.5	4.6E-03
AT1G01780 (REPRESSED:PCHX) AT4G39780	-0.6	3.3E-04
AT1G01780 (REPRESSED:PCHX) AT5G62020	-0.4	8.2E-02
AT1G01780 (REPRESSED:PCHX) AT5G65210	-0.5	1.3E-03
AT1G01790 (INDUCED:PCHX) AT1G25550	0.4	6.5E-02
AT1G01790 (REPRESSED:PCHX) AT2G22200	-0.5	2.3E-02
AT1G01790 (INDUCED:PCHX) AT2G22430	0.3	2.1E-02
AT1G01790 (REPRESSED:PCHX) AT2G33550	-0.5	1.5E-03
AT1G01790 (INDUCED:PCHX) AT2G39250	0.7	3.9E-07
AT1G01790 (INDUCED:PCHX) AT3G17609	0.3	4.2E-02
AT1G01790 (REPRESSED:PCHX) AT3G49940	-0.6	2.3E-04
AT1G01790 (REPRESSED:PCHX) AT4G39780	-0.7	2.0E-05
AT1G01790 (REPRESSED:PCHX) AT5G07680	-0.5	1.0E-03
AT1G01790 (REPRESSED:PCHX) AT5G62020	-0.6	3.1E-03
AT1G01790 (REPRESSED:PCHX) AT5G65210	-0.4	6.8E-04
AT1G01800 (REPRESSED:PCHX) AT2G22200	-0.6	4.4E-04
AT1G01800 (REPRESSED:PCHX) AT5G65210	-0.6	1.9E-04
AT1G01860 (INDUCED:PCHX) AT5G62020	0.8	6.7E-02
AT1G01930 (INDUCED:PCHX) AT2G22200	0.4	9.8E-02
AT1G01930 (INDUCED:PCHX) AT5G62020	0.6	7.0E-03
AT1G01940 (INDUCED:PCHX) AT3G16870	0.5	7.7E-02
AT1G01940 (INDUCED:PCHX) AT4G27950	0.5	5.8E-02
AT1G01950 (REPRESSED:PCHX) AT1G66140	-0.3	5.4E-02
AT1G01950 (REPRESSED:PCHX) AT2G22430	-0.3	2.5E-02
AT1G01950 (REPRESSED:PCHX) AT5G15830	-0.3	4.4E-02
AT1G01950 (INDUCED:PCHX) AT5G49450	0.3	9.5E-03
AT1G01950 (INDUCED:PCHX) AT5G65210	0.3	4.0E-03
AT1G01960 (REPRESSED:PCHX) AT5G15830	-0.4	5.6E-02
AT1G01960 (REPRESSED:PCHX) AT5G65210	-0.4	7.4E-03
AT1G01980 (REPRESSED:PCHX) AT2G22200	-0.9	6.7E-02
AT1G01980 (REPRESSED:PCHX) AT5G62020	-1.2	1.6E-02
AT1G02080 (REPRESSED:PCHX) AT5G07680	-0.4	1.4E-02
AT1G02080 (INDUCED:PCHX) AT5G49450	0.3	6.7E-02
AT1G02080 (INDUCED:PCHX) AT5G65210	0.4	1.0E-04
AT1G02090 (INDUCED:PCHX) AT2G22200	0.3	8.2E-02
AT1G02090 (INDUCED:PCHX) AT5G65210	0.4	1.1E-03
AT1G02110 (INDUCED:PCHX) AT2G39250	0.3	4.4E-02
AT1G02110 (REPRESSED:PCHX) AT5G07680	-0.3	9.6E-02
AT1G02110 (INDUCED:PCHX) AT5G49450	0.3	3.3E-02
AT1G02110 (INDUCED:PCHX) AT5G65210	0.3	3.0E-02
AT1G02140 (INDUCED:PCHX) AT2G33550	0.5	1.1E-03
AT1G02140 (INDUCED:PCHX) AT3G49940	0.4	1.3E-02
AT1G02140 (INDUCED:PCHX) AT4G39780	0.4	1.6E-02
AT1G02140 (INDUCED:PCHX) AT5G10970	0.4	7.9E-03
AT1G02150 (INDUCED:PCHX) AT3G17609	0.5	4.9E-02
AT1G02150 (INDUCED:PCHX) AT5G49450	0.5	1.2E-02
AT1G02150 (INDUCED:PCHX) AT5G65210	0.5	2.2E-02
AT1G02190 (REPRESSED:PCHX) AT3G49940	-0.4	9.4E-02
AT1G02190 (REPRESSED:PCHX) AT5G10970	-0.4	5.2E-02
AT1G02190 (REPRESSED:PCHX) AT5G15830	-0.4	8.7E-02
AT1G02205 (REPRESSED:PCHX) AT1G68670	-0.6	6.4E-02
AT1G02205 (INDUCED:PCHX) AT2G22430	0.7	1.8E-02
AT1G02205 (INDUCED:PCHX) AT2G39250	0.5	9.1E-02
AT1G02205 (INDUCED:PCHX) AT3G17609	0.8	1.2E-02
AT1G02220 (INDUCED:PCHX) AT2G22430	0.5	1.4E-02
AT1G02220 (REPRESSED:PCHX) AT3G16870	-0.7	3.6E-02
AT1G02220 (INDUCED:PCHX) AT5G57660	0.5	1.0E-02
AT1G02220 (REPRESSED:PCHX) AT5G62020	-1.0	7.7E-03
AT1G02250 (INDUCED:PCHX) AT2G22430	0.6	9.4E-02
AT1G02250 (INDUCED:PCHX) AT3G17609	0.7	4.4E-02
AT1G02250 (INDUCED:PCHX) AT5G65210	0.7	3.6E-02
AT1G02270 (INDUCED:PCHX) AT2G22430	0.4	1.3E-02
AT1G02270 (INDUCED:PCHX) AT3G17609	0.4	4.1E-02
AT1G02270 (INDUCED:PCHX) AT5G10970	0.3	9.9E-02
AT1G02270 (REPRESSED:PCHX) AT5G15830	-0.5	3.3E-02
AT1G02270 (REPRESSED:PCHX) AT5G65210	-0.3	9.4E-02
AT1G02305 (INDUCED:PCHX) AT2G22430	0.3	3.3E-02
AT1G02310 (REPRESSED:PCHX) AT2G22200	-0.3	3.5E-02
AT1G02310 (REPRESSED:PCHX) AT3G16870	-0.4	1.8E-02
AT1G02310 (INDUCED:PCHX) AT5G65210	0.3	8.1E-02
AT1G02330 (INDUCED:PCHX) AT2G22200	0.8	4.1E-05
AT1G02330 (INDUCED:PCHX) AT3G16870	0.5	1.7E-02
AT1G02330 (INDUCED:PCHX) AT5G15830	0.4	9.0E-02
